OCC,mission,region,island,site,year,lat,long,zone,depth,calcifiers,coral,cca,macroalgae,encrusting,halimeda,softcoral,turf,sediment,invertebrate,siteG,siteG_lwr,siteG_upr,islandB,islandB_lwr,islandB_upr,G,G_lwr,G_upr,dnta,dnta_lwr,dnta_upr,BCC,CDP,CVI,DHW_2014,DHW_2015,DHW_2016,DHW_2017,last_year_bleached,maxDHW,bleaching
OCC-JAR-011,HA1801,PRIAs,Jarvis,JAR-00007,2018,-0.37605,-160.01393,Forereef,Mid,25.087108016,0.348432056,24.73867596,0,41.46341463,0,0,32.05574913,1.393728223,0,-0.04331010446380001,-0.0814982577854,-0.0016027873786000047,0.474115965443238,0.386920525659669,0.561311405226807,-0.280368087185419,-0.3621539603988035,-0.1950630502084345,41.71124239910667,24.594280401723154,58.050142252907335,negative,positive,neutral,0.30999999307096,29.7199993357062,29.9399993307889,0,2016,29.9399993307889,severe
OCC-JAR-013,HA1801,PRIAs,Jarvis,JAR-00011,2018,-0.36896,-160.00826,Forereef,Mid,14.736842101,2.456140351,12.28070175,0.350877193,34.73684211,1.403508772,0,43.50877193,5.263157895,0,0.06305263160354999,0.025859649142350005,0.10424561406535,0.474115965443238,0.386920525659669,0.561311405226807,-0.174005351118069,-0.2547960534710535,-0.0892146487644845,31.85692523328099,13.551293529005761,51.34719703486053,negative,positive,neutral,0.30999999307096,29.7199993357062,29.9399993307889,0,2016,29.9399993307889,severe
OCC-KIN-002,HA1801,PRIAs,Kingman,KIN-00004,2018,6.43883,-162.38795,Forereef,Mid,47.20279721,13.98601399,33.21678322,0.34965035,26.92307692,3.846153846,1.748251748,19.23076923,0,0.699300699,1.3679195804845,1.1722202797889,1.5655419581019001,2.35900827952925,1.33139553791678,3.38662102114171,0.18841544071987482,-0.5210902307819549,0.8998441891435102,6.545831423630716,5.573985165344766,7.45063634119515,neutral,positive,neutral,0,1.47999996691942,0,0,0,1.47999996691942,none
OCC-KIN-005,HA1801,PRIAs,Kingman,KIN-00016,2018,6.39252,-162.3421,Backreef,Mid,57.575757577999994,49.15824916,8.417508418,0.336700337,1.01010101,1.346801347,0,33.67003367,0,6.060606061,10.7768350164966,9.675959595665299,11.951683501298,2.35900827952925,1.33139553791678,3.38662102114171,9.597330876731975,7.982649085094444,11.28598573233961,7.274538486817922,5.7936394825756,8.654380632617631,positive,positive,positive,0,1.19999997317791,0,0,0,1.19999997317791,none
OCC-KIN-006,HA1801,PRIAs,Kingman,KIN-00011,2018,6.38183,-162.34641,Forereef,Mid,50.352112680000005,34.85915493,15.49295775,0,7.394366197,2.816901408,10.21126761,29.22535211,0,0,5.099665493597399,4.4769542259418005,5.7762852119598,2.35900827952925,1.33139553791678,3.38662102114171,3.920161353832774,2.7836437153709452,5.1105874430014095,34.24115221135927,29.472722531229465,38.711460707803326,positive,positive,positive,0,1.19999997317791,0,0,0,1.19999997317791,none
OCC-KIN-009,HA1801,PRIAs,Kingman,KIN-00013,2018,6.38221,-162.38397,Forereef,Mid,35.98484848,18.18181818,17.8030303,0,10.60606061,26.13636364,0,26.13636364,1.136363636,0,3.03388257566515,2.48251893931205,3.6314962120172503,2.35900827952925,1.33139553791678,3.38662102114171,1.8543784359005249,0.7892084287411951,2.96579844305886,12.244711353059301,8.531820706627968,15.716607041364568,positive,positive,positive,0,1.47999996691942,0,0,0,1.47999996691942,none
OCC-KIN-014,HA1801,PRIAs,Kingman,KIN-00062,2018,6.40219,-162.38564,Lagoon,Mid,52.66903915,23.84341637,28.82562278,0.355871886,8.185053381,4.982206406,0.355871886,32.74021352,0.355871886,0.355871886,4.9912455522017,4.462597865314899,5.5588612106210995,2.35900827952925,1.33139553791678,3.38662102114171,3.8117414124370743,2.769287354744044,4.8931634416627094,4.721644836152336,4.712682084402331,4.729976482632537,positive,positive,positive,0,1.47999996691942,0,0,0,1.47999996691942,none
OCC-PAL-008,HA1801,PRIAs,Palmyra,PAL-00025,2018,5.86379,-162.03061,Forereef,Mid,34.545454547999995,24.72727273,9.818181818,1.818181818,5.818181818,2.545454545,34.54545455,19.27272727,0.727272727,0.727272727,2.6292909091557,2.1624909091505002,3.1387454546166,1.21131848028021,0.814894314178322,1.60774264638211,2.0236316690155953,1.3586195859594452,2.731298297527439,0.6005499889496756,0.228692927496013,0.9463304623300246,positive,positive,positive,0.139999996870756,1.50999996624887,0,0,0,1.50999996624887,none
OCC-PAL-014,HA1801,PRIAs,Palmyra,PAL-00019,2018,5.86636,-162.1096,Forereef,Mid,48.63945578,28.57142857,20.06802721,1.020408163,17.00680272,10.54421769,1.020408163,15.98639456,5.782312925,0,5.92389455764465,4.959676870601751,7.30508503377795,1.21131848028021,0.814894314178322,1.60774264638211,5.318235317504545,4.155805547410695,6.89763787668879,-37.90075030564249,-131.71740410702796,7.327706521519758,positive,neutral,neutral,0,1.67999996244907,0,0,0,1.67999996244907,none
OCC-WAK-002,HA1701,PRIAs,Wake,WAK-00023,2017,19.31605,166.62721,Forereef,Mid,73.118279568,72.40143369,0.716845878,6.093189964,1.075268817,0.358422939,0,19.35483871,0,0,6.1094982081337,5.1013261650934,7.478853046896901,7.62201128347064,1.46655566538764,13.7774669015536,2.2984925663983797,-1.7874072856834005,6.745575214203081,-11.788164895694914,-17.958396478481063,-5.3831316240366505,neutral,negative,neutral,7.95999982208014,7.07999984174967,1.24999997206032,5.52999987639487,2017,7.95999982208014,significant
